id,rectimestamp,sendtimestamp,Delay millisecond,longitude,latitude,altitude,speed,Key star Number,msgCnt,TotalRcvMsgCount,TotalLostMsgCount,AID,Source_Layer2-ID,Dest MAC ID,Priority,Power(dBm),RSSI(dBm),SINR(dB),CBR(%),MCS,RSRP(dBm),EARFCN,Band,TB Size(bit),Modulation,Type,Label,attack_type,SPAT
80,1.70E+12,1.70E+12,-237.036,116.491636,39.729161,22.7,8.778,47,57.45,696E636830303000,86,80,108,3619,8000001,7,8,-121,-91,2,1,5,-121,55140,47,4264,QPSK,normal,SPAT
81,1.70E+12,1.70E+12,-238.99,116.491637,39.729162,22.7,8.778,47,57.45,696E636830303000,87,81,108,3619,8000001,7,8,-120,-91,2,0,5,-120,55140,47,4264,QPSK,normal,SPAT
82,1.70E+12,1.70E+12,-235.281,116.49164,39.729163,22.7,8.778,47,57.45,696E636830303000,88,82,108,3619,8000001,7,8,-127,-94,-4,1,5,-127,55140,47,4264,QPSK,normal,SPAT
83,1.70E+12,1.70E+12,-242.573,116.491641,39.729164,22.7,8.834,46,59.21,,89,83,108,3619,8000001,7,8,-119,-90,3,1,5,-119,55140,47,4264,QPSK,normal,SPAT
84,1.70E+12,1.70E+12,-222.734,116.491651,39.729169,22.7,8.797,47,57.67,696E636830303000,92,84,110,3619,8000001,7,8,-118,-90,4,0,5,-118,55140,47,4264,QPSK,normal,SPAT
85,1.70E+12,1.70E+12,-242.415,116.491651,39.729169,22.7,8.834,46,59.21,,93,85,110,3619,8000001,7,8,-116,-88,6,1,5,-116,55140,47,4264,QPSK,normal,SPAT
86,1.70E+12,1.70E+12,-215.403,116.491658,39.729172,22.7,8.797,47,57.67,696E636830303000,95,86,111,3619,8000001,7,8,-121,-92,1,1,5,-121,55140,47,4264,QPSK,normal,SPAT
87,1.70E+12,1.70E+12,-226.575,116.491663,39.729175,22.7,8.797,47,57.67,696E636830303000,97,87,112,3619,8000001,7,8,-120,-91,2,1,5,-120,55140,47,4264,QPSK,normal,SPAT
88,1.70E+12,1.70E+12,-231.59,116.491665,39.729176,22.7,8.834,46,59.21,696E636830303000,98,88,112,3619,8000001,7,8,-122,-92,0,1,5,-122,55140,47,4264,QPSK,normal,SPAT
89,1.70E+12,1.70E+12,-235.684,116.491668,39.729177,22.7,8.834,46,59.21,696E636830303000,99,89,112,3619,8000001,7,8,-118,-90,4,1,5,-118,55140,47,4264,QPSK,normal,SPAT
90,1.70E+12,1.70E+12,-237.997,116.49167,39.729178,22.7,8.816,46,57.11,,100,90,112,3619,8000001,7,8,-115,-87,6,1,5,-115,55140,47,4264,QPSK,normal,SPAT
91,1.70E+12,1.70E+12,-242.489,116.491672,39.729179,22.7,8.816,46,57.11,696E636830303000,101,91,112,3619,8000001,7,8,-119,-91,3,1,5,-119,55140,47,4264,QPSK,normal,SPAT
92,1.70E+12,1.70E+12,-236.696,116.491676,39.729181,22.7,8.834,46,59.21,696E636830303000,102,92,112,3619,8000001,7,8,-120,-91,1,1,5,-120,55140,47,4264,QPSK,normal,SPAT
93,1.70E+12,1.70E+12,-242.613,116.491678,39.729182,22.7,8.816,46,57.11,696E636830303000,103,93,112,3619,8000001,7,8,-115,-87,6,1,5,-115,55140,47,4264,QPSK,normal,SPAT
94,1.70E+12,1.70E+12,-217.784,116.491686,39.729186,22.7,8.834,46,59.21,696E636830303000,106,94,114,3619,8000001,7,8,-124,-93,-1,2,5,-124,55140,47,4264,QPSK,normal,SPAT
95,1.70E+12,1.70E+12,-241.354,116.491687,39.729186,22.7,8.834,46,59.21,,107,95,114,3619,8000001,7,8,-118,-90,4,1,5,-118,55140,47,4264,QPSK,normal,SPAT
96,1.70E+12,1.70E+12,-237.761,116.49169,39.729188,22.6,8.871,46,58.5,,108,96,114,3619,8000001,7,8,-116,-88,5,1,5,-116,55140,47,4264,QPSK,normal,SPAT
97,1.70E+12,1.70E+12,-236.998,116.491693,39.729189,22.7,8.816,46,57.11,696E636830303000,109,97,114,3619,8000001,7,8,-119,-90,3,1,5,-119,55140,47,4264,QPSK,normal,SPAT
98,1.70E+12,1.70E+12,-234.687,116.491695,39.72919,22.7,8.816,46,57.11,696E636830303000,110,98,114,3619,8000001,7,8,-118,-90,4,2,5,-118,55140,47,4264,QPSK,normal,SPAT
99,1.70E+12,1.70E+12,-237.865,116.491697,39.729191,22.6,8.871,46,58.5,,111,99,114,3619,8000001,7,8,-122,-92,1,0,5,-122,55140,47,4264,QPSK,normal,SPAT
100,1.70E+12,1.70E+12,-237.16,116.4917,39.729192,22.7,8.816,46,57.11,696E636830303000,112,100,114,3619,8000001,7,8,-117,-89,5,0,5,-117,55140,47,4264,QPSK,normal,SPAT
101,1.70E+12,1.70E+12,-241.474,116.491702,39.729193,22.7,8.816,46,57.11,,113,101,114,3619,8000001,7,8,-119,-90,3,0,5,-119,55140,47,4264,QPSK,normal,SPAT
102,1.70E+12,1.70E+12,-237.549,116.491705,39.729195,22.7,8.816,46,57.11,696E636830303000,114,102,114,3619,8000001,7,8,-118,-89,5,2,5,-118,55140,47,4264,QPSK,normal,SPAT
103,1.70E+12,1.70E+12,-238.889,116.491707,39.729196,22.7,8.816,46,57.11,696E636830303000,115,103,114,3619,8000001,7,8,-120,-91,2,0,5,-120,55140,47,4264,QPSK,normal,SPAT
104,1.70E+12,1.70E+12,-237.947,116.49171,39.729197,22.7,8.816,46,57.11,696E636830303000,116,104,114,3619,8000001,7,8,-119,-90,4,0,5,-119,55140,47,4264,QPSK,normal,SPAT
105,1.70E+12,1.70E+12,-241.098,116.491711,39.729198,22.6,8.871,46,58.5,,117,105,114,3619,8000001,7,8,-117,-88,5,0,5,-117,55140,47,4264,QPSK,normal,SPAT
106,1.70E+12,1.70E+12,-233.472,116.491713,39.729199,22.7,8.853,45,56.41,696E636830303000,118,106,114,3619,8000001,7,8,-114,-86,8,1,5,-114,55140,47,4264,QPSK,normal,SPAT
107,1.70E+12,1.70E+12,-241.812,116.491716,39.7292,22.7,8.853,45,56.41,,119,107,114,3619,8000001,7,8,-114,-86,8,1,5,-114,55140,47,4264,QPSK,normal,SPAT
108,1.70E+12,1.70E+12,-237.401,116.491718,39.729202,22.6,8.871,46,58.5,696E636830303000,120,108,114,3619,8000001,7,8,-118,-90,4,1,5,-118,55140,47,4264,QPSK,normal,SPAT
109,1.70E+12,1.70E+12,-236.207,116.491722,39.729203,22.6,8.871,46,58.5,696E636830303000,121,109,114,3619,8000001,7,8,-117,-88,5,1,5,-117,55140,47,4264,QPSK,normal,SPAT
110,1.70E+12,1.70E+12,-236.68,116.491725,39.729205,22.6,8.871,46,58.5,,122,110,114,3619,8000001,7,8,-116,-88,6,0,5,-116,55140,47,4264,QPSK,normal,SPAT
111,1.70E+12,1.70E+12,-236.569,116.491726,39.729205,22.6,8.871,46,58.5,,123,111,114,3619,8000001,7,8,-119,-90,3,1,5,-119,55140,47,4264,QPSK,normal,SPAT
112,1.70E+12,1.70E+12,-237.115,116.491728,39.729207,22.7,8.853,45,56.41,696E636830303000,124,112,114,3619,8000001,7,8,-118,-89,4,0,5,-118,55140,47,4264,QPSK,normal,SPAT
113,1.70E+12,1.70E+12,-236.388,116.491731,39.729208,22.6,8.871,46,58.5,696E636830303000,125,113,114,3619,8000001,7,8,-122,-92,0,1,5,-122,55140,47,4264,QPSK,normal,SPAT
114,1.70E+12,1.70E+12,-236.766,116.491734,39.72921,22.6,8.871,46,58.5,696E636830303000,126,114,114,3619,8000001,7,8,-119,-90,3,2,5,-119,55140,47,4264,QPSK,normal,SPAT
115,1.70E+12,1.70E+12,-240.061,116.491735,39.72921,22.7,8.908,46,56.79,,127,115,114,3619,8000001,7,8,-118,-89,4,1,5,-118,55140,47,4264,QPSK,normal,SPAT
116,1.70E+12,1.70E+12,-236.612,116.491737,39.729211,22.7,8.853,45,56.41,696E636830303000,1,116,115,3619,8000001,7,8,-113,-86,8,0,5,-113,55140,47,4264,QPSK,normal,SPAT
117,1.70E+12,1.70E+12,-240.586,116.491739,39.729212,22.7,8.908,46,56.79,,2,117,115,3619,8000001,7,8,-116,-87,6,1,5,-116,55140,47,4264,QPSK,normal,SPAT
118,1.70E+12,1.70E+12,-235.965,116.491741,39.729213,22.7,8.853,45,56.41,696E636830303000,3,118,115,3619,8000001,7,8,-117,-89,4,1,5,-117,55140,47,4264,QPSK,normal,SPAT
119,1.70E+12,1.70E+12,-231.565,116.491744,39.729214,22.7,8.853,45,56.41,696E636830303000,4,119,115,3619,8000001,7,8,-115,-87,6,0,5,-115,55140,47,4264,QPSK,normal,SPAT
120,1.70E+12,1.70E+12,-233.54,116.491747,39.729216,22.7,8.853,45,56.41,696E636830303000,5,120,115,3619,8000001,7,8,-118,-89,4,1,5,-118,55140,47,4264,QPSK,normal,SPAT
121,1.70E+12,1.70E+12,-239.751,116.491749,39.729216,22.7,8.908,46,56.79,,6,121,115,3619,8000001,7,8,-115,-87,7,1,5,-115,55140,47,4264,QPSK,normal,SPAT
122,1.70E+12,1.70E+12,-236.331,116.491752,39.729218,22.7,8.853,45,56.41,696E636830303000,7,122,115,3619,8000001,7,8,-118,-89,4,1,5,-118,55140,47,4264,QPSK,normal,SPAT
123,1.70E+12,1.70E+12,-236.252,116.491754,39.729219,22.7,8.853,45,56.41,,8,123,115,3619,8000001,7,8,-116,-88,5,1,5,-116,55140,47,4264,QPSK,normal,SPAT
124,1.70E+12,1.70E+12,-242.95,116.491756,39.72922,22.7,8.853,45,56.41,696E636830303000,9,124,115,3619,8000001,7,8,-117,-89,5,1,5,-117,55140,47,4264,QPSK,normal,SPAT
125,1.70E+12,1.70E+12,-239.153,116.491759,39.729221,22.7,8.853,45,56.41,696E636830303000,10,125,115,3619,8000001,7,8,-116,-87,6,1,5,-116,55140,47,4264,QPSK,normal,SPAT
126,1.70E+12,1.70E+12,-223.622,116.491763,39.729223,22.7,8.908,46,56.79,696E636830303000,12,126,116,3619,8000001,7,8,-114,-86,8,1,5,-114,55140,47,4264,QPSK,normal,SPAT
